信用评级
6
7
7
0
7
7
7
1
7
7
6
7
8
0
7
7
7
7
6
7
7
7
7
7
7
7
7
7
7
7
7
7
7
7
6
7
7
7
7
6
7
5
7
7
7
4
7
6
7
7
7
7
7
7
0
7
7
7
7
7
7
0
7
7
6
7
7
7
6
7
5
7
0
7
0
8
7
7
7
7
7
7
