营业利润率（%）,净资产收益率（%）,资产报酬率（%）,速动比率（%）,现金比率（%）,资产负债率（%）,产权比率（%）,净利润增长率（%）,总资产增长率（%）,应收账款周转率（次）,总资产周转率（次）,流动资产周转率（次）,前五大股东持股总和占比（%）
0.4082604748342805,0.2703536912412082,0.4727376353619151,0.7271241830065368,0.5812273345421576,0.3943779499545178,112.76,0.3093471608350891,0.15526516198819346,0.15138872332816786,0.7668711656441719,0.45095132196688914,0.5994943109987357
0.5286480032832961,0.5172797652178313,0.6282059400924578,0.8823529411764717,0.9999999999999999,0.2568513579260378,14.73,1.0000000000000002,0.36808839864763265,0.10430325426153297,0.3527607361963191,0.22856436866814928,0.34412136536030347
0.6288880321365055,0.5405555836664473,0.9920207713254388,0.3390522875816997,0.3816296464188575,0.32008020116508296,59.8,0.5929677139671526,0.4460629520220027,0.18357372750029805,0.5368098159509204,0.3582900914257475,0.5828065739570164
0.0775678734438543,0.0,0.46893800265974295,0.08578431372549028,0.051280598368087016,0.5878102309795797,250.64,0.0,0.33292102620818115,0.4362856121110979,0.7668711656441719,1.0,0.5039190897597977
0.5792654868357232,0.7087992713656833,0.5639288202140461,0.26552287581699374,0.3252493200362646,0.46581377639632343,163.68,0.7919859997344559,0.8365420529014296,0.3325783764453451,1.0,1.0,0.43767383059418463
0.5195691917370377,0.4780650710924454,0.4638718257235135,0.20833333333333354,0.05241387126019943,0.5161920271332684,199.59,0.5159638539762068,0.43951454474017376,0.11622362617713673,0.47546012269938664,0.4015319990116136,0.602022756005057
0.6588605469673038,0.5537114810504478,0.5525299221075297,0.6617647058823537,0.9999999999999999,0.3497656310061789,80.96,0.6793895999398528,0.574363228025243,0.08582667779234712,0.4294478527607363,0.2718062762540154,0.37104930467762326
0.35913539865932065,0.0,0.22734469001329877,0.17973856209150346,0.2926677243880325,0.9592849458956384,515.43,0.35997378353752385,0.09293402600930356,1.0,1.0,0.716580182851495,0.2869785082174463
0.570435409852376,0.5243637099630623,0.6231397631562283,0.3022875816993467,0.18543177697189475,0.3505372277175496,81.51,0.7726700483578645,0.34965584481729944,0.09953510549529146,0.5674846625766873,0.2779836916234248,0.7268015170670038
0.8427997562401283,0.5317006527349086,0.539864479766956,0.4411764705882357,0.5028898458748865,0.26900049887234645,23.39,0.6024857189932993,0.540772324005491,0.14662057456192634,0.3527607361963191,0.3582900914257475,0.37812895069532243
0.4761650105090352,0.0,0.4379076689253373,0.32271241830065395,0.028898458748866717,1.0,544.4520000000001,0.31240651959349336,0.2040144161973641,0.09297890094170938,0.9509202453987732,0.5436125525080308,0.4780025284450064
0.6706754387055852,0.5671203764610635,0.48603634981951754,0.17973856209150346,0.30513372620126916,0.5721538322543137,239.48,0.6314996376759433,0.5628428818812847,0.6502562879961856,0.383435582822086,0.1853224610822832,0.3371681415929204
0.6719191115201412,1.0,0.5309986701285543,0.12254901960784327,0.25257819582955565,0.9177028976683188,485.79,0.8189003584848618,0.9922486260471389,1.0,0.5981595092024541,0.2594514455151965,0.6345132743362832
0.0,0.3325912057885948,0.3631815591159522,0.7802287581699355,0.9999999999999999,0.3254112329890983,63.6,0.4149450275222315,0.37075626828097036,0.0566217665991179,0.26073619631901845,0.12354830738818881,0.39051833122629587
0.8130759759722411,0.9526893690229217,0.6462541954277754,0.25326797385620936,0.8071736174070714,0.5582510624185263,229.57,1.0000000000000002,1.0,1.0,0.9202453987730064,0.4447739065974797,0.9643489254108724
0.6385886800900418,0.6035520922936801,0.7953897789880313,1.0,0.9999999999999999,0.26434286054189093,20.07,0.6832687868622739,0.9899445568183474,0.23602336392895462,0.8128834355828223,0.5374351371386212,0.7874841972187104
0.5288967378462073,0.4957749329555229,0.4695712747767717,0.2941176470588239,0.2874263372620126,0.5297300421600443,209.24,0.5422183510336236,0.5024520147266404,0.27953272142090835,0.5674846625766873,0.38917716827279475,0.7447534766118837
1.0,0.5380256034002934,0.5107339623836363,1.0,0.9999999999999999,0.29374770976067033,41.03,0.7531341430836099,0.8942650504227362,0.056025748003337705,0.29141104294478537,0.14825796886582657,0.6189633375474083
0.6975387714999937,0.0,0.3932619846748148,0.16748366013071914,0.09335335448776062,1.0,544.4520000000001,0.3840714986138907,0.23445238337771696,0.0,0.0,0.0,0.5811630847029078
0.5353638364818982,0.5909021909629104,0.809005129504148,0.31862745098039247,0.2626359927470534,0.5595277042500668,230.48,0.6862881540029212,0.38215534762341324,0.1764215043509358,1.0,0.8030639980232271,0.43451327433628323
0.7271381844864252,0.8122754642513788,0.520549680197581,0.12254901960784327,0.2141885766092474,0.9346780253184729,497.89,0.7329383761163663,0.6877476874420951,0.8934318750745025,0.4601226993865032,0.20385470719051152,0.661188369152971
0.19484621985648004,0.0,0.796972959280603,0.06127450980392164,0.22651291931096998,1.0,544.4520000000001,0.0,0.47613711879780946,0.9375372511622363,0.6441717791411045,1.0,0.7685208596713021
0.5995373537129851,0.4679451500278297,0.4670381863086569,1.0,0.9999999999999999,0.24728355870504184,7.91,0.5006470643753071,0.48741493133873703,0.4148289426630111,0.2300613496932516,0.10501606127996048,0.2695322376738306
0.634235825239096,0.7396650306127612,0.8390855550630107,0.32271241830065395,0.1467588395285584,0.40857532944373764,122.88,0.7933057231204342,0.5855197737646551,0.2074144713315056,1.0,1.0,0.0
0.6303804395139726,0.6452967666852198,0.5613957317459313,0.20833333333333354,0.5441126473254758,0.36676881671856465,93.08,0.7023447885323238,0.5461080632721664,0.3897961616402432,0.8588957055214725,0.9327897207808256,0.6863463969658661
